REGISTRATION,OPERATOR,TYPE,POPULAR NAME,OPERATION TYPE,EGOW FLIGHT TYPE,CAA FLIGHT TYPE,JET/PROP,CAA OPR,CAA OPR PFX,CAA LESSOR PREFIX,CAA FLIGHT,FIXED C/S,SEATS,WARNINGS,NOTES
G-MPAA,SHROPSHIRE AERO CLUB,P28A,CHEROKEE,,VC,P,,,,,,GMPAA,,,
G-MPSA,NATIONAL POLICE AIR SERVICE,EC45,,,VCH,L,,,UKP,,,UKP,,,
G-MPSB,NATIONAL POLICE AIR SERVICE,EC45,,,VCH,L,,,UKP,,,UKP,,,
G-MPSC,NATIONAL POLICE AIR SERVICE,EC45,,,VCH,L,,,UKP,,,UKP,,,
G-MRLI,BRISTOW HELICOPTERS LTD,S92,CYCLONE,,VCH,L,,,BHL,,,GMRLI,,,
G-NEAU,NATIONAL POLICE AIR SERVICE,EC35,,,VCH,L,,,UKP,,,UKP,,,
G-NELI,MK AERO SUPPORT,P28R,ARROW,,VC,P,,,,,,GNELI,,,
G-NESH,HELICENTRE AVIATION,R44,RAVEN 2,,VCH,P,,,,,,GNESH,,,
G-NETR,PDG HELICOPTERS,AS55,TWIN SQUIRREL,,VCH,L,,,PDG,,,GNETR,,,
G-NGTC,SKYBOARD AEROBATICS,E200,EXTRA,,VC,P,,,,,,GNGTC,,,
G-NHAA,GREAT NORTH AIR AMBULANCE,AS65,DAUPHIN,,VCH,L,,,HLE,,,HLE58,,,
G-NHAB,GREAT NORTH AIR AMBULANCE,AS65,DAUPHIN,,VCH,L,,,HLE,,,HLE63,,,
G-NHAC,GREAT NORTH AIR AMBULANCE,AS65,DAUPHIN,,VCH,L,,,HLE,,,GNHAC,,,
G-NHEM,BABCOCK MISSION CRITICAL SERVICES,EC35,,,VCH,L,,,HLE,,,HLE23,,,
G-NHVE,NHV HELICOPTERS LTD,EC75,,,VCH,L,,,NHX,,,GNHVE,,,
G-NHVF,NHV HELICOPTERS LTD,EC75,,,VCH,L,,,NHX,,,GNHVF,,,
G-NHVI,NHV HELICOPTERS LTD,EC75,,,VCH,L,,,NHX,,,GNHVI,,,
G-NHVN,NHV HELICOPTERS LTD,A139,,,VCH,L,,,NHX,,,GNHVN,,,
G-NHVP,NHV HELICOPTERS LTD,A139,,,VCH,L,,,NHX,,,GNHVP,,,
G-NHVR,NHV HELICOPTERS LTD,EC75,,,VCH,L,,,NHX,,,GNHVR,,,
G-NHVU,NHV HELICOPTERS LTD,EC75,,,VCH,L,,,NHX,,,GNHVU,,,
G-NHVV,NHV HELICOPTERS LTD,EC75,,,VCH,L,,,NHX,,,GNHVV,,,
G-NHVX,NHV HELICOPTERS LTD,A139,,,VCH,L,,,NHX,,,GNHVX,,,
G-NIHM,BABCOCK MISSION CRITICAL SERVICES,EC35,,,VCH,L,,,HLE,,,HLE23,,,
G-NLDR,PDG HELICOPTERS,AS55,TWIN SQUIRREL,,VCH,L,,,PDG,,,GNLDR,,,
G-NLSE,PDG HELICOPTERS,AS55,TWIN SQUIRREL,,VCH,L,,,PDG,,,PDG66,,,
G-NOSE,RVL AVIATION LTD,C402,,,VC,L,,,REV,,,GNOSE,,,
G-NPTV,ARENA AVIATION LTD (GB 2144),AS55,TWIN SQUIRREL,,VCH,AD,,,REN,,,GNPTV,,,
G-NSYS,CAPITAL AIR SERVICES LTD,EC35,,,VCH,AD,,,WTK,,,GNSYS,,,
G-NTWK,PDG HELICOPTERS,AS55,TWIN SQUIRREL,,VCH,L,,,PDG,,,PDG63,,,
G-NWAA,NORTH WEST  AIR AMBULANCE,EC35,,,VCH,L,,,HLE,,,HLE08,,,
G-NWAE,NORTH WEST  AIR AMBULANCE,EC35,,,VCH,L,,,HLE,,,HLE75,,,
G-NWEM,NORTH WEST  AIR AMBULANCE,EC35,,,VCH,L,,,HLE,,,HLE72,,,
G-NWOI,NATIONAL POLICE AIR SERVICE,EC35,,,VCH,L,,,UKP,,,UKP,,,
G-OAGI,AMY BRECKELL,SAH1,,,VC,P,,,,,,GOAGI,,,
G-OALI,ATLAS HELICOPTERS LTD,AS55,TWIN SQUIRREL,,VCH,AD,,,TDT,,,GOALI,,,
G-OASP,HELICOPTER SERVICES,AS55,TWIN SQUIRREL,,VCH,L,,,TOA,,,GOASP,,,
G-OBSR,RAVENAIR,P68,OBSERVER,,VC,L,,,RVR,,,GOBSR,,,
G-OCMM,CASTLE AIR LTD,A109,,,VCH,AD,,,CST,,,GOCMM,,,
G-OCTO,ZULU GLASSTEK,RV8,,,VC,P,,,,,,RAVEN2,,,
G-ODHB,KINGMOOR AVIATION,R44,RAVEN 2,,VCH,P,,,,,,GODHB,,,
G-OENC,BRISTOW HELICOPTERS LTD,A189,,,VCH,L,,,BHL,,,GOENC,,,
G-OFFO,2 EXCEL AVIATION LTD,E300,,,VC,AD,,,BRO,,,GOFFO,,,
G-OFZY,ATLAS HELICOPTERS LTD,AS55,TWIN SQUIRREL,,VCH,AD,,,TDT,,,GOFZY,,,
G-OHAM,COTSWOLD HELICOPTERS,R44,RAVEN 2,,VCH,AD,,,HHH,,,GOHAM,,,
G-OKED,LAC FLYING SCHOOL,C150,,,VC,P,,,,,,GOKED,,,
G-OLCP,GB HELICOPTERS,AS55,TWIN SQUIRREL,,VCH,L,,,KNM,,,GOLCP,,,
G-OMAA,MIDLANDS AIR AMBLUANCE,EC35,,,VCH,L,,,HLE,,,HLE06,,,
G-OMCM,TJ MORRIS LTD,AS50,SQUIRREL,,VCH,P,,,,,,GOMCM,,,
G-OMDR,CASTLE AIR LTD,B06,JETRANGER,,VCH,AD,,,CST,,,GOMDR,,,
G-ONAA,LIBERTY AVIATION,V10,BRONCO,,VC,P,,,,,,BRONCO,,,
G-OONA,HELICOPTER SERVICES,R44,RAVEN 2,,VCH,AD,,,TOA,,,GOONA,,,
G-OOTT,LIBERTAS (UK) LTD,AS50,SQUIRREL,,VCH,P,,,,,,GOOTT,,,
G-OPOT,CASTLE AIR LTD,A109,,,VCH,AD,,,CST,,,GOPOT,,,
G-ORCD,CASTLE AIR LTD,A109,,,VCH,AD,,,CST,,,GORCD,,,
G-ORDH,GB HELICOPTERS,AS55,TWIN SQUIRREL,,VCH,L,,,KNM,,,GORDH,,,
G-ORKY,PDG HELICOPTERS,AS50,SQUIRREL,,VCH,L,,,PDG,,,PDG53,,,
G-ORST,BABCOCK MISSION CRITICAL SERVICES,EC35,,,VCH,L,,,RHD,,,GORST,,,
G-ORVR,RAVENAIR,P68,OBSERVER,,VC,L,,,RVR,,,GORVR,,,
G-OSEM,SLOANE HELICOPTERS LTD,R44,RAVEN 2,,VCH,AD,,,SLN,,,GOSEM,,,
G-OSFL,RVL AVIATION LTD,BE20,KING AIR 200,,VC,AD,,,REV,,,GOSFL,,,
G-OSRA,2 EXCEL AVIATION LTD,R722,SUPER 27,,VC,AD,,,BRO,,CHARTER,GOSRA,,,
G-OSRB,2 EXCEL AVIATION LTD,R722,SUPER 27,,VC,AD,,,BRO,,CHARTER,GOSRB,,,
G-OUCP,2 EXCEL AVIATION LTD,PA31,NAVAJO,,VC,AD,,,BRO,,,GOUCP,,,
G-OWST,WESTAIR FLYING SERVICES,C172,SKYHAWK,,VC,P,,,,,,GOWST,,,
G-PASH,EXCEL CHARTER LTD,AS55,TWIN SQUIRREL,,VCH,AD,,,XEL,,,GPASH,,,
G-PDGF,PDG HELICOPTERS,AS50,SQUIRREL,,VCH,L,,,PDG,,,PDG55,,,
G-PDGI,PDG HELICOPTERS,AS50,SQUIRREL,,VCH,L,,,PDG,,,PDG54,,,
G-PDGK,PDG HELICOPTERS,AS65,DAUPHIN,,VCH,L,,,PDG,,,PDG67,,,
G-PDGN,PDG HELICOPTERS,AS65,DAUPHIN,,VCH,L,,,PDG,,,PDG68,,,
G-PDGO,PDG HELICOPTERS,AS65,DAUPHIN,,VCH,L,,,PDG,,,GPDGO,,,
G-PDGP,PDG HELICOPTERS,AS55,TWIN SQUIRREL,,VCH,L,,,PDG,,,GPDGP,,,
G-PDGR,PDG HELICOPTERS,AS50,SQUIRREL,,VCH,L,,,PDG,,,PDG56,,,
G-PDGT,PDG HELICOPTERS,AS55,TWIN SQUIRREL,,VCH,L,,,PDG,,,PDG64,,,
G-PERD,BABCOCK MISSION CRITICAL SERVICES,A139,,,VCH,L,,,,,,GPERD,,,
G-PICU,CHILDRENS AIR AMBULANCE,A169,,,VCH,L,,,HLE,,,HLE80,,,
G-PLMH,PDG HELICOPTERS,AS50,SQUIRREL,,VCH,L,,,PDG,,,PDG58,,,
G-PLMI,PDG HELICOPTERS,AS65,DAUPHIN,,VCH,L,,,PDG,,,PDG69,,,
G-POET,AIR CAERNARFON,R44,RAVEN 2,,VCH,P,,,,,,GPOET,,,
G-POLA,NATIONAL POLICE AIR SERVICE,EC35,,,VCH,L,,,UKP,,,UKP151,,,
G-POLB,NATIONAL POLICE AIR SERVICE,EC35,,,VCH,L,,,UKP,,,UKP,,,
G-POLC,NATIONAL POLICE AIR SERVICE,EC35,,,VCH,L,,,UKP,,,UKP131,,,
G-POLD,NATIONAL POLICE AIR SERVICE,EC35,,,VCH,L,,,UKP,,,UKP,,,
G-POLF,NATIONAL POLICE AIR SERVICE,EC35,,,VCH,L,,,UKP,,,UKP,,,
G-POLG,NATIONAL POLICE AIR SERVICE,EC35,,,VCH,L,,,UKP,,,UKP,,,
G-POLH,NATIONAL POLICE AIR SERVICE,EC35,,,VCH,L,,,UKP,,,UKP,,,
G-POLJ,NATIONAL POLICE AIR SERVICE,EC35,,,VCH,L,,,UKP,,,UKP,,,
G-POLS,BABCOCK MISSION CRITICAL SERVICES,EC35,,,VCH,L,,,UKP,,,GPOLS,,,
G-POLV,NATIONAL POLICE AIR SERVICE,P68,OBSERVER,,VC,L,,,UKP,,,UKP,,,
G-POLW,NATIONAL POLICE AIR SERVICE,P68,OBSERVER,,VC,L,,,UKP,,,UKP,,,
G-POLX,NATIONAL POLICE AIR SERVICE,P68,OBSERVER,,VC,L,,,UKP,,,UKP,,,
G-POLZ,NATIONAL POLICE AIR SERVICE,P68,OBSERVER,,VC,L,,,UKP,,,UKP,,,
G-POTR,CASTLE AIR LTD,A109,,,VCH,AD,,,CST,,,GPOTR,,,
G-PRDH,COTSWOLD HELICOPTERS,AS55,TWIN SQUIRREL,,VCH,AD,,,HHH,,,GPRDH,,,
G-PSHU,BABCOCK MISSION CRITICAL SERVICES,EC35,,,VCH,L,,,RHD,,,GPSHU,,,
G-PSNI,POLICE SERVICE OF NORTHERN IRELAND,EC35,,,VCH,L,,,UKP,,,UKP441,,,
G-PSNO,POLICE SERVICE OF NORTHERN IRELAND,EC45,,,VCH,L,,,UKP,,,UKP442,,,
G-PSNR,POLICE SERVICE OF NORTHERN IRELAND,EC45,,,VCH,L,,,UKP,,,UKP443,,,
G-RAFK,RVL AVIATION LTD,BE20,KING AIR 200,,VC,AD,,,REV,,,GRAFK,,,
G-RAFL,RVL AVIATION LTD,BE20,KING AIR 200,,VC,AD,,,REV,,,GRAFL,,,
G-RBRI,HELICENTRE AVIATION,R44,RAVEN 2,,VCH,P,,,,,,PIPE81,,,
G-REDF,BABCOCK MISSION CRITICAL SERVICES,AS65,DAUPHIN,,VCH,L,,,,,,GREDF,,,
G-REDJ,BABCOCK MISSION CRITICAL SERVICES,AS65,DAUPHIN,,VCH,L,,,,,,GREDJ,,,
G-REDN,BABCOCK MISSION CRITICAL SERVICES,AS3B,COUGAR,,VCH,L,,,,,,GREDN,,,
G-REDO,BABCOCK MISSION CRITICAL SERVICES,AS3B,COUGAR,,VCH,L,,,,,,GREDO,,,
G-REDP,BABCOCK MISSION CRITICAL SERVICES,AS3B,COUGAR,,VCH,L,,,,,,GREDP,,,
G-REDR,BABCOCK MISSION CRITICAL SERVICES,EC25,,,VCH,L,,,RHD,,,GREDR,,,
G-REDT,BABCOCK MISSION CRITICAL SERVICES,EC25,,,VCH,L,,,RHD,,,GREDT,,,
G-RESA,BRISTOW HELICOPTERS LTD,A139,,,VCH,L,,,,,,GRESA,,,
G-RESU,EAST ANGLIAN AIR AMBULANCE,EC45,,,VCH,L,,,HLE,,,HLE85,,,
G-REXA,RVL AVIATION LTD,BE20,KING AIR 200,,VC,AD,,,REV,,,GREXA,,,
G-REXC,CASTLE AIR LTD,A109,,,VCH,AD,,,CST,,,GREXC,,,
G-RHYM,2 EXCEL AVIATION LTD,PA31,NAVAJO,,VC,AD,,,BRO,,,GRHYM,,,
G-RIDA,NATIONAL GRID ELECTRICITY TRANSMISSION PLC,AS55,TWIN SQUIRREL,,VCH,L,,,GRD,,,GRIDA,,,
G-RIDB,NATIONAL GRID ELECTRICITY TRANSMISSION PLC,B429,GLOBALRANGER,,VCH,L,,,GRD,,,GRIDB,,,
G-RMAA,MIDLANDS AIR AMBULANCE,EC45,,,VCH,L,,,HLE,,,HLE03,,,
G-RMBH,APOLLO AIR SERVICES,A109,,,VCH,AD,,,EDY,,,EDY08,,,
G-RRGN,ROLLS ROYCE,SPIT,SPITFIRE,,VC,P,,,,,,MERLIN29,,,
G-RSAF,NORTH WALES MILITARY AVIATION SERVICES,STRK,STRIKEMASTER,,VC,AD,,,,,,STRIKE,,EMERGENCY BALLISTIC DEVICE,
G-RSCU,NORTHERN IRELAND AIR AMBULANCE,A109,,,VCH,L,,,HLE,,,HLE23,,,
G-RULE,COTSWOLD HELICOPTERS,R44,RAVEN 2,,VCH,AD,,,HHH,,,GRULE,,,
G-RVBI,ROBERT LEA,RV8,,,VC,P,,,,,,GRVBI,,,
G-RVLG,RVL AVIATION LTD,F406,CARAVAN 2,,VC,AD,,,REV,,,REV6LG,,,
G-RVLW,RVL AVIATION LTD,F406,CARAVAN 2,,VC,AD,,,REV,,,REV6LW,,,
G-RVLX,RVL AVIATION LTD,F406,CARAVAN 2,,VC,AD,,,REV,,,REV6LX,,,
G-RVLY,RVL AVIATION LTD,F406,CARAVAN 2,,VC,AD,,,REV,,,REV6LY,,,
G-RVLZ,RVL AVIATION LTD,C310,,,VC,AD,,,REV,,,GRVLZ,,,
G-RVNE,RAVENAIR,P68,OBSERVER,,VC,L,,,RVR,,,RVR7NE,,,
G-RVNG,RAVENAIR,P68,OBSERVER,,VC,L,,,RVN,,,RVR7NG,,,
G-RVNJ,RAVENAIR,P68,OBSERVER,,VC,L,,,RVR,,,RVR7NJ,,,
G-RVNK,RAVENAIR,P68,OBSERVER,,VC,L,,,RVN,,,RVR7NK,,,
G-RVNM,RAVENAIR,P68,OBSERVER,,VC,L,,,RVR,,,RVR7NM,,,
G-RVNO,RAVENAIR,PA34,SENECA,,VC,L,,,RVR,,,GRVNO,,,
G-RVNP,RAVENAIR,P68,OBSERVER,,VC,L,,,RVR,,,RVR7NP,,,
G-RVRB,RAVENAIR,PA34,SENECA,,VC,L,,,RVN,,,GRVRB,,,
G-RVRE,RAVENAIR,P68,OBSERVER,,VC,L,,,RVR,,,RVR7RE,,,
G-RVRJ,RAVENAIR,PA23,APACHE,,VC,L,,,RVR,,,GRVRJ,,,
G-RVRU,RAVENAIR,PA38,TOMAHAWK,,VC,L,,,RVR,,,GRVRU,,,
G-RVRW,RAVENAIR,PA27,AZTEC,,VC,L,,,RVR,,,GRVRW,,,
G-RVRX,RAVENAIR,P68,OBSERVER,,VC,L,,,RVR,,,RVR7RX,,,
G-RVRZ,RAVENAIR,PA27,AZTEC,,VC,L,,,RVR,,,GRVRZ,,,
G-RVTX,MICHAEL TETLOW,RV8,,,VC,P,,,,,,GRVTX,,,
G-RXTV,ARENA AVIATION LTD (GB 2144),A109,,,VCH,AD,,,REN,,,GRXTV,,,
G-RYFF,CASTLE AIR LTD,A109,,,VCH,AD,,,CST,,,GRYFF,,,
G-SASN,BABCOCK MISSION CRITICAL SERVICES,EC45,,,VCH,L,,,HLE,,,GSASN,,,
G-SASR,SPECIALIST AVIATION SERVICES LTD,EXPL,EXPLORER,,VCH,L,,,PLC,,,GSASR,,,
G-SASS,BABCOCK MISSION CRITICAL SERVICES,EC45,,,VCH,L,,,HLE,,,GSASS,,,
G-SASX,SPECIALIST AVIATION SERVICES LTD,A169,,,VCH,L,,,PLC,,,GSASX,,,
G-SCAA,SCOTLAND'S CHARITY AIR AMBULANCE,EC35,,,VCH,L,,,HLE,,,HLE76,,,
G-SCAP,APOLLO AIR SERVICES,A109,,,VCH,AD,,,EDY,,,EDY05,,,
G-SCHZ,SKYHOOK HELICOPTERS,AS55,SQUIRREL,,VCH,AD,,,,,,GSCHZ,,,
G-SCIR,2 EXCEL AVIATION LTD,PA31,NAVAJO,,VC,AD,,,BRO,,,GSCIR,,,
G-SCMR,2 EXCEL AVIATION LTD,PA31,NAVAJO,,VC,AD,,,BRO,,,GSCMR,,,
G-SCTR,2 EXCEL AVIATION LTD,PA31,NAVAJO,,VC,AD,,,BRO,,,GSCTR,,,
G-SENS,CAPITAL AIR SERVICES LTD,EC35,,,VCH,AD,,,WTK,,,WTK25,,,
G-SGRP,APOLLO AIR SERVICES,A109,,,VCH,AD,,,EDY,,,EDY01,,,
G-SHLE,SLOANE HELICOPTERS LTD,A109,,,VCH,AD,,,SLN,,,GSHLE,,,
G-SHLS,SLOANE HELICOPTERS LTD,A109,,,VCH,AD,,,SLN,,,GSHLS,,,
G-SHMB,L39 AVIATION,L39,ALBATROSS,,VM,P,,,,,,ALBATROS,,EMERGENCY BALLISTIC DEVICE,
G-SICA,DIRECT FLIGHT LTD,BN2P,ISLANDER,,VC,AD,,,DCT,,,GSICA,,,
G-SICB,DIRECT FLIGHT LTD,BN2P,ISLANDER,,VC,AD,,,DCT,,,GSICB,,,
G-SIJJ,PETER TEICHMAN,P51,MUSTANG,,VC,P,,,,,,GSIJJ,,,
G-SLAR,EXCEL CHARTER LTD,A109,,,VCH,AD,,,XEL,,,GSLAR,,,
G-SMMA,DIRECT FLIGHT LTD,F406,CARAVAN 2,,VC,AD,,,DCT,,,GSMMA,,,
G-SMMB,DIRECT FLIGHT LTD,F406,CARAVAN 2,,VC,AD,,,DCT,,,GSMMB,,,
G-SMTH,FLIGHT AND MEDIA ENTERPRISES LTD,P28A,CHEROKEE,,VC,P,,,,,,GSMTH,,,
G-SNSA,CHC SCOTIA LTD,A139,,,VCH,L,,,HKS,,,GSNSA,,,
G-SNSE,CHC SCOTIA LTD,A139,,,VCH,L,,,HKS,,,GSNSE,,,
G-SNSI,CHC SCOTIA LTD,A139,,,VCH,L,,,HKS,,,GSNSI,,,
G-SNSK,CHC SCOTIA LTD,A139,,,VCH,L,,,HKS,,,GSNSK,,,
G-SOAF,NORTH WALES MILITARY AVIATION SERVICES,STRK,STRIKEMASTER,,VC,AD,,,,,,STRIKE,,EMERGENCY BALLISTIC DEVICE,
G-SOUT,JULIAN SOUTHERN,RV8,,,VC,P,,,,,,RAVEN5,,,
G-SPEY,CASTLE AIR LTD,B06,JETRANGER,,VCH,AD,,,CST,,,GSPEY,,,
G-SPHU,BABCOCK MISSION CRITICAL SERVICES,EC35,,,VCH,L,,,RHD,,,RHD,,,
G-SPVK,GB HELICOPTERS,AS50,SQUIRREL,,VCH,L,,,KNM,,,GSPVK,,,
G-SUFK,NATIONAL POLICE AIR SERVICE,EC35,,,VCH,L,,,UKP,,,UKP,,,
G-SWEL,MARK CROOK / ANDREW WRIGHT,H500,HUGHES 500,,VCH,P,,,,,,GSWEL,,,
G-TAAS,"DERBYSHIRE, LEICESTERSHIRE AND RUTLAND AIR AMBULANCE",A109,,,VCH,P,,,HLE,,,HLE54,,,
G-TACN,FLIGHT CALIBRATION SERVICES LTD,DA62,,,VC,L,,,VOR,,,GTACN,,,
G-TATS,COTSWOLD HELICOPTERS,AS50,SQUIRREL,,VCH,AD,,,HHH,,,GTATS,,,
G-TCAA,CHILDRENS AIR AMBULANCE,A169,,,VCH,L,,,HLE,,,HLE81,,,
G-TDOG,RICHARD JONES,BDOG,BULLDOG,,VC,P,,,,,,GTDOG,,,
G-TELY,CASTLE AIR LTD,A109,,,VCH,AD,,,CST,,,GTELY,,,
G-TIII,HIGH G FLIGHT TRAINING,PTS2,PITTS SPECIAL,,VM,P,,,,,,GTIII,,,
G-TIJL,HELICOPTER SERVICES,AS55,TWIN SQUIRREL,,VCH,AD,,,TOA,,,GTIJL,,,
G-TOOO,HELICENTRE AVIATION,G2CA,,,VCH,P,,,,,,GTOOO,,,
G-TOYZ,CASTLE AIR LTD,B06,JETRANGER,,VCH,AD,,,CST,,,GTOYZ,,,
G-TREE,COTSWOLD HELICOPTERS,B06,JETRANGER,,VCH,AD,,,HHH,,,GTREE,,,
G-TRNG,CASTLE AIR LTD,A109,,,VCH,AD,,,CST,,,GTRNG,,,
G-TSAC,PETER RIDING,SIRA,SIERRA,,BC,P,,,,,,GTSAC,,,
G-TSBY,HELICOPTER SERVICES,R44,RAVEN 2,,VCH,AD,,,TOA,,,GTSBY,,,
G-TTEA,WILLIAMS,SR20,,,VC,P,,,,,,GTTEA,,EMERGENCY BALLISTIC DEVICE,
G-TVAL,BABCOCK MISSION CRITICAL SERVICES,EC35,,,VCH,L,,,RHD,,,GTVAL,,,
G-TVGB,GB HELICOPTERS,AS50,SQUIRREL,,VCH,L,,,KNM,,,GTVGB,,,
G-TVHB,NATIONAL POLICE AIR SERVICE,EC35,,,VCH,L,,,UKP,,,UKP,,,
G-TVHD,ARENA AVIATION LTD (GB 2144),AS55,TWIN SQUIRREL,,VCH,AD,,,REN,,,GTVHD,,,
G-TWOO,NORTH WEST AEROBATICS,E200,,,VCH,P,,,,,,GTWOO,,,
G-TXTV,ARENA AVIATION LTD (GB 2144),A109,,,VCH,AD,,,REN,,,GTXTV,,,
G-TYER,COLIN WHITE,DR40,PRESIDENT,,VC,P,,,,,,GTYER,,,
G-UANT,AIR NAVIGATION AND TRADING COMPANY LTD,P28A,CHEROKEE,,VC,P,,,,,,GUANT,,,
G-UFLY,WESTAIR FLYING SERVICES LTD,C150,,,VC,P,,,,,,GUFLY,,,
G-UKCS,2 EXCEL AVIATION LTD,PA31,NAVAJO,,VC,AD,,,BRO,,,GUKCS,,,
G-UKTV,ARENA AVIATION LTD (GB 2144),AS55,TWIN SQUIRREL,,VCH,AD,,,REN,,,GUKTV,,,
G-UMMI,2 EXCEL AVIATION LTD,PA31,NAVAJO,,VC,AD,,,BRO,,,GUMMI,,,
G-VFDS,SIMON SHIRLEY,RV8,,,VC,P,,,,,,RAVEN1,,,
G-VGMC,GB HELICOPTERS,AS55,TWIN SQUIRREL,,VCH,L,,,KNM,,,GVGMC,,,
G-VIND,BABCOCK MISSION CRITICAL SERVICES,S92,CYCLONE,,VCH,L,,,BND,,,GVIND,,,
